TIME=16:13:35:448077106, total_Total= 11333 , total_CPU= 1838 , total_GPU= 5587 , io_Total= 383 , io_CPU= 53 , io_GPU= 280 , sleep_Total= 13 , sleep_CPU= 0 , sleep_GPU= 0 , temp_CPU= 43000 , temp_GPU= 40500
TIME=16:13:35:483131437, total_Total= 12711 , total_CPU= 2144 , total_GPU= 6046 , io_Total= 421 , io_CPU= 39 , io_GPU= 280 , sleep_Total= 13 , sleep_CPU= 0 , sleep_GPU= 0 , temp_CPU= 43500 , temp_GPU= 40500
TIME=16:13:35:517441920, total_Total= 13324 , total_CPU= 2372 , total_GPU= 6733 , io_Total= 421 , io_CPU= 39 , io_GPU= 280 , sleep_Total= 13 , sleep_CPU= 0 , sleep_GPU= 0 , temp_CPU= 44000 , temp_GPU= 40500
TIME=16:13:35:551449647, total_Total= 13510 , total_CPU= 2372 , total_GPU= 6962 , io_Total= 421 , io_CPU= 39 , io_GPU= 280 , sleep_Total= 13 , sleep_CPU= 0 , sleep_GPU= 0 , temp_CPU= 44000 , temp_GPU= 40500
TIME=16:13:35:583762964, total_Total= 13433 , total_CPU= 2066 , total_GPU= 7342 , io_Total= 459 , io_CPU= 39 , io_GPU= 280 , sleep_Total= 13 , sleep_CPU= 0 , sleep_GPU= 0 , temp_CPU= 44000 , temp_GPU= 41000
TIME=16:13:35:610530660, total_Total= 11414 , total_CPU= 2221 , total_GPU= 4900 , io_Total= 459 , io_CPU= 39 , io_GPU= 280 , sleep_Total= 13 , sleep_CPU= 0 , sleep_GPU= 0 , temp_CPU= 44000 , temp_GPU= 39500
TIME=16:13:35:639507187, total_Total= 9273 , total_CPU= 2375 , total_GPU= 3677 , io_Total= 421 , io_CPU= 39 , io_GPU= 280 , sleep_Total= 13 , sleep_CPU= 0 , sleep_GPU= 0 , temp_CPU= 43000 , temp_GPU= 39500
TIME=16:13:35:674201209, total_Total= 11223 , total_CPU= 2451 , total_GPU= 4898 , io_Total= 498 , io_CPU= 39 , io_GPU= 280 , sleep_Total= 13 , sleep_CPU= 0 , sleep_GPU= 0 , temp_CPU= 43500 , temp_GPU= 40000
TIME=16:13:35:707212695, total_Total= 12252 , total_CPU= 2450 , total_GPU= 5664 , io_Total= 421 , io_CPU= 53 , io_GPU= 280 , sleep_Total= 13 , sleep_CPU= 0 , sleep_GPU= 0 , temp_CPU= 44000 , temp_GPU= 40500
TIME=16:13:35:741241307, total_Total= 13165 , total_CPU= 2450 , total_GPU= 6427 , io_Total= 421 , io_CPU= 39 , io_GPU= 280 , sleep_Total= 13 , sleep_CPU= 0 , sleep_GPU= 0 , temp_CPU= 44000 , temp_GPU= 40500
TIME=16:13:35:775402834, total_Total= 13816 , total_CPU= 2449 , total_GPU= 6580 , io_Total= 459 , io_CPU= 40 , io_GPU= 280 , sleep_Total= 13 , sleep_CPU= 0 , sleep_GPU= 0 , temp_CPU= 44000 , temp_GPU= 41000
TIME=16:13:35:807178500, total_Total= 13816 , total_CPU= 2372 , total_GPU= 6962 , io_Total= 383 , io_CPU= 39 , io_GPU= 280 , sleep_Total= 13 , sleep_CPU= 0 , sleep_GPU= 0 , temp_CPU= 44000 , temp_GPU= 41000
TIME=16:13:35:840149466, total_Total= 12673 , total_CPU= 2220 , total_GPU= 6046 , io_Total= 383 , io_CPU= 39 , io_GPU= 280 , sleep_Total= 13 , sleep_CPU= 0 , sleep_GPU= 0 , temp_CPU= 44000 , temp_GPU= 41000
TIME=16:13:35:868884173, total_Total= 9963 , total_CPU= 2375 , total_GPU= 3523 , io_Total= 421 , io_CPU= 39 , io_GPU= 280 , sleep_Total= 13 , sleep_CPU= 0 , sleep_GPU= 0 , temp_CPU= 43000 , temp_GPU= 39500
