Total_Power Total_CPU_Power Total_GPU_Power CPU_Temperature GPU_Temperature 
3147 460 19 39500 37000 
3224 460 19 39500 37000 
3224 460 19 39500 37000 
3224 460 19 39500 37000 
3262 460 19 39500 37000 
3301 537 19 39500 37000 
3339 614 19 39500 37000 
3416 691 19 39500 37000 
3492 691 19 39500 37000 
3531 768 19 39500 37000 
3569 768 19 39500 37000 
3646 844 19 39500 37000 
3684 844 19 39500 37000 
3723 921 19 39500 37000 
3800 997 19 39500 37000 
3838 997 19 39500 37000 
3876 1074 19 39500 37000 
3953 1151 19 39500 37000 
3953 1151 19 39500 37000 
4028 1228 19 39500 37000 
4067 1228 19 39500 37000 
4067 1305 19 39500 37000 
4143 1305 19 39500 37000 
4182 1381 19 39500 37000 
4220 1381 19 39500 37000 
4258 1458 19 39500 37000 
4297 1458 19 39500 37000 
4297 1458 19 39500 37000 
4335 1535 19 39500 37000 
4373 1535 19 39500 37000 
4412 1612 19 39500 37000 
4450 1612 19 39500 37000 
4489 1612 19 39500 37000 
4489 1688 19 40000 37000 
4527 1765 19 40000 37000 
4565 1765 19 40000 37000 
4565 1765 19 40000 37000 
4642 1842 19 40000 37000 
4680 1842 19 40000 37000 
4680 1919 19 40000 37000 
4719 1919 19 40000 37000 
4757 1919 19 40000 37500 
4796 1995 19 40000 37500 
4796 1995 19 40000 37500 
4834 1995 19 40000 37500 
4872 2072 19 40000 37500 
4872 2072 19 40000 37500 
4872 2072 19 40000 37500 
4911 2071 19 40000 37500 
4949 2148 0 40000 37500 
4949 2148 0 40000 37500 
4987 2148 0 40000 37500 
5026 2148 19 40000 37500 
5064 2225 0 40000 37500 
5064 2225 0 40000 37500 
5064 2225 0 40000 37500 
5102 2225 0 40000 37500 
5102 2225 0 40000 37500 
5102 2225 0 40000 37500 
5102 2225 0 40000 37500 
5141 2225 0 40000 37500 
5141 2302 0 40000 37500 
5179 2302 0 40000 37500 
5179 2302 0 40000 37500 
5179 2302 0 40500 37500 
5179 2302 0 40500 37500 
5218 2302 0 40500 37500 
5218 2302 0 40500 37500 
5218 2302 0 40500 37500 
5179 2302 0 40500 37500 
5218 2378 0 40500 37500 
5256 2378 0 40500 38000 
5256 2378 0 40500 38000 
5294 2378 0 40500 38000 
5294 2378 19 40500 38000 
5333 2455 0 40500 38000 
5333 2455 0 40500 38000 
5371 2455 0 40500 38000 
5371 2455 0 40500 38000 
5409 2532 0 40500 38000 
5409 2532 0 40500 38000 
5409 2532 0 40500 38000 
5448 2532 0 40500 38000 
5448 2532 0 40500 38000 
5486 2532 0 40500 38000 
5484 2532 0 40500 38000 
5522 2609 0 40500 38000 
5522 2609 0 40500 38000 
5561 2609 0 40500 38000 
5599 2609 0 40500 38000 
5599 2609 0 40500 38000 
5561 2609 0 40500 38000 
5561 2609 0 40500 38000 
5561 2609 0 40500 38000 
5561 2609 0 40500 38000 
5524 2609 0 40500 38000 
