Total_Power Total_CPU_Power Total_GPU_Power CPU_Temperature GPU_Temperature 
2610 230 19 34500 32000 
2610 307 19 34500 32000 
2648 307 19 34500 32000 
2648 307 19 34500 32000 
2686 307 19 34500 32000 
2725 307 19 34500 32000 
2725 384 19 34500 32000 
2763 384 19 34500 32000 
2763 384 19 34500 32000 
2802 384 19 34500 32000 
2802 460 19 34500 32000 
2840 460 19 34500 32000 
2840 460 19 34500 32000 
2878 460 19 34500 32000 
2878 460 19 34500 32000 
2917 537 19 34500 32000 
2917 537 19 34500 32000 
2917 537 19 34500 32000 
2955 537 19 34500 32000 
2955 537 19 34500 32000 
2955 614 19 34500 32000 
2993 614 19 34500 32000 
2993 614 19 34500 32000 
2993 614 19 34500 32000 
2993 614 19 35000 32000 
3032 614 19 35000 32000 
3032 691 19 35000 32000 
3032 691 19 35000 32000 
3070 691 19 35000 32000 
3070 691 19 35000 32000 
3070 691 19 35000 32000 
3070 691 19 35000 32000 
3109 691 19 35000 32000 
3109 768 19 35000 32000 
3109 768 19 35000 32000 
3147 768 19 35000 32000 
3147 768 19 35000 32000 
3185 768 19 35000 32000 
3185 768 19 35000 32000 
3185 844 19 35000 32000 
3224 844 19 35000 32000 
3224 844 19 35000 32000 
3262 844 19 35000 32000 
3262 844 19 35000 32000 
3262 844 19 35000 32000 
3262 844 19 35000 32000 
3301 844 19 35000 32000 
3301 844 19 35000 32000 
3262 844 19 35000 32000 
3301 844 19 35000 32000 
3301 844 19 35000 32000 
3301 844 19 35000 32000 
3301 921 19 35000 32000 
3301 921 19 35000 32000 
3301 921 19 35000 32000 
3301 921 19 35000 32000 
3339 921 19 35000 32000 
3339 921 19 35000 32000 
3339 921 19 35000 32000 
3339 921 19 35000 32000 
3339 921 19 35000 32000 
3339 921 19 35000 32000 
3339 921 19 35000 32000 
3339 921 19 35000 32000 
3339 921 19 35000 32000 
3339 921 19 35000 32000 
3339 921 19 35000 32000 
3377 998 19 35000 32000 
3377 998 19 35000 32000 
3377 998 19 35000 32000 
3339 998 19 35000 32000 
3339 998 19 35000 32000 
3339 998 19 35000 32000 
3339 998 19 35000 32000 
3339 998 19 35000 32000 
3339 998 19 35000 32000 
3377 997 19 35000 32000 
3377 997 19 35000 32000 
3377 997 19 35000 32000 
3377 997 19 35000 32000 
3377 997 19 35000 32000 
3377 997 19 35000 32000 
3377 998 19 35000 32500 
3377 997 19 35000 32500 
3377 997 19 35000 32500 
3339 997 19 35000 32500 
3339 921 19 35000 32500 
3339 921 19 35000 32500 
3339 921 19 35000 32500 
3339 921 19 35000 32500 
3339 921 19 35000 32500 
3377 921 19 35000 32500 
3377 921 19 35000 32500 
3377 998 19 35000 32500 
3377 997 19 35000 32500 
3377 997 19 35000 32500 
3416 997 19 35000 32500 
3416 998 19 35000 32500 
3416 998 19 35000 32500 
3416 998 19 35000 32500 
3416 998 19 35000 32500 
3416 998 19 35000 32500 
3416 998 19 35000 32500 
3416 997 19 35000 32500 
3416 997 19 35000 32500 
3416 997 19 35000 32500 
3416 997 19 35000 32000 
3416 997 19 35000 32000 
3454 997 19 35000 32000 
3454 997 19 35000 32000 
3454 997 19 35000 32000 
3454 997 19 35000 32000 
3416 997 19 35000 32000 
3416 997 19 35000 32000 
3416 997 19 35000 32000 
3416 997 19 35000 32000 
3416 997 19 35000 32000 
3416 997 19 35000 32000 
3416 997 19 35000 32000 
3416 997 19 35000 32000 
3416 997 19 35000 32000 
3454 997 19 35000 32000 
3454 997 19 35000 32000 
3454 997 19 35000 32000 
3454 997 19 35000 32000 
3454 997 19 35000 32000 
3454 997 19 35000 32000 
3454 997 19 35000 32000 
3454 997 19 35000 32000 
3454 997 19 35000 32000 
3454 1074 19 35000 32500 
3454 1074 19 35000 32500 
3454 1074 19 35000 32500 
3492 1074 19 35000 32500 
3492 1074 19 35000 32500 
3492 1074 19 35000 32500 
3492 1074 19 35000 32500 
3492 1074 19 35000 32500 
3492 1074 19 35000 32500 
3454 997 19 35000 32500 
3492 997 19 35000 32500 
3531 997 19 35000 32500 
3531 997 19 35000 32500 
3531 997 19 35000 32500 
3531 997 19 35000 32500 
3531 997 76 35000 32500 
3492 997 76 35000 32500 
3531 997 76 35000 32500 
3531 997 76 35000 32500 
3531 997 76 35000 32500 
3531 997 76 35000 32500 
3531 997 76 35000 32000 
3569 997 76 35000 32000 
3569 1074 76 35000 32000 
3569 1074 76 35000 32000 
3569 1074 76 35000 32000 
3569 1074 76 35000 32000 
3569 1074 76 35000 32000 
3569 997 76 35000 32000 
3569 997 76 35000 32000 
3531 997 76 35000 32000 
3531 997 76 35000 32000 
3531 997 76 35000 32000 
3531 997 76 35000 32000 
3569 997 76 35000 32000 
3569 997 76 35000 32000 
3569 997 76 35000 32000 
3608 997 76 35000 32000 
3608 997 76 35000 32000 
3608 921 76 35000 32000 
3608 921 76 35000 32000 
3608 997 76 35000 32000 
3608 997 76 35000 32000 
3646 997 76 35000 32000 
3646 997 76 35000 32000 
3608 997 76 35000 32000 
3608 997 76 35000 32000 
3608 997 76 35000 32000 
3608 997 76 35000 32000 
3608 997 76 35000 32000 
3608 921 76 35000 32000 
3608 921 76 35000 32000 
3608 921 76 35000 32000 
3569 921 76 35000 32000 
3569 921 76 35000 32000 
3569 921 76 35000 32000 
3569 921 76 35000 32000 
3569 921 76 35000 32000 
3569 997 76 35000 32000 
3569 997 76 35000 32000 
3569 997 76 35000 32000 
3608 997 76 35000 32000 
3608 997 76 35000 32000 
3608 997 76 35000 32000 
3608 997 76 35000 32000 
3608 997 76 35000 32000 
3608 997 76 35000 32000 
3608 997 76 35000 32000 
3608 997 76 35000 32000 
3608 997 76 35000 32000 
3608 997 76 35000 32000 
3608 997 76 35000 32000 
3608 997 76 35000 32000 
3608 997 76 35000 32000 
3569 997 76 35000 32000 
3608 997 76 35000 32000 
3608 997 76 35000 32000 
