Total_Power Total_CPU_Power Total_GPU_Power CPU_Temperature GPU_Temperature 
3070 307 19 44000 41500 
3185 460 19 44000 41500 
3262 537 19 44000 41500 
3301 537 19 44000 41500 
3339 614 19 44000 41500 
3416 691 19 44000 41500 
3531 768 19 44000 41500 
3569 844 19 44000 41500 
3608 921 19 44000 41500 
3723 921 19 44000 41500 
3761 998 19 44000 41500 
3800 1074 19 44000 41500 
3876 1151 19 44000 41500 
3915 1151 19 44000 41500 
3953 1228 19 44000 41500 
4030 1228 19 44000 41500 
4067 1305 19 44000 41500 
4105 1305 19 44000 41500 
4105 1305 19 44000 41500 
4143 1381 19 44000 41500 
4182 1381 19 44000 41500 
4258 1458 19 44000 41500 
4297 1458 19 44000 41500 
4335 1535 19 44000 41500 
4335 1535 19 44000 41500 
4373 1612 19 45000 41500 
4450 1612 19 45000 42000 
4450 1688 19 45000 42000 
4489 1688 19 45000 42000 
4527 1688 19 45000 42000 
4565 1765 19 45000 42000 
4604 1765 19 45000 42000 
4642 1842 19 45000 42000 
4680 1842 19 45000 42000 
4719 1919 19 45000 42000 
4757 1919 19 45000 42000 
4757 1919 19 45000 42000 
4796 1919 19 45000 42000 
4872 1919 19 45000 42000 
4872 1995 19 45000 42000 
4911 1995 19 45000 42000 
4911 2072 19 45000 42000 
4949 2072 19 45000 42000 
4949 2072 19 45000 42000 
4987 2072 19 45000 42000 
4987 2148 19 45000 42000 
5026 2148 19 45000 42000 
5026 2148 19 45000 42000 
5064 2225 19 45000 42000 
5102 2225 19 45000 42000 
5102 2225 19 45000 42000 
5102 2225 19 45000 42000 
5141 2225 19 45000 42000 
5179 2302 19 45000 42000 
5179 2302 19 45000 42000 
5218 2302 19 45000 42000 
5256 2302 19 45000 42500 
5256 2378 19 45000 42500 
5256 2378 19 45000 42500 
5294 2378 19 45000 42500 
5333 2378 19 45000 42500 
5333 2378 19 45000 42500 
5333 2455 19 45000 42500 
5409 2455 19 45000 42500 
5409 2455 19 45000 42500 
5409 2455 19 45000 42500 
5409 2455 19 45000 42500 
5448 2455 19 45000 42500 
5448 2532 19 45000 42500 
5486 2532 0 45000 42500 
5486 2532 0 45000 42500 
5524 2532 0 45000 42500 
5524 2532 0 45000 42500 
5524 2609 0 45000 42500 
5563 2609 0 45000 42500 
5601 2609 0 45000 42500 
5601 2609 0 45000 42500 
5601 2609 0 45000 42500 
5637 2609 0 45000 42500 
5637 2685 19 45000 42500 
5637 2685 19 45000 42500 
5637 2685 19 45000 42500 
5637 2685 0 45000 42500 
5637 2685 19 45000 42500 
5676 2685 0 45000 42500 
5676 2685 0 45500 42500 
5676 2685 0 45500 42500 
5676 2685 0 45500 42500 
5714 2685 0 45500 42500 
5714 2685 0 45500 42500 
5714 2762 0 45500 42500 
5714 2685 0 45500 42500 
5714 2685 0 45500 42500 
5714 2762 0 45500 42500 
5714 2762 0 45500 42500 
5714 2762 0 45500 42500 
5714 2762 0 45500 42500 
5714 2762 0 45500 42500 
5752 2762 0 45500 42500 
5752 2762 0 45500 42500 
5752 2762 0 45500 42500 
5752 2762 0 45500 42500 
5752 2762 0 45500 42500 
5791 2762 0 45500 42500 
5752 2762 0 45500 42500 
5752 2762 0 45500 42500 
5791 2762 0 45500 42500 
5791 2762 0 45500 42500 
5752 2762 0 45500 42500 
5752 2762 0 45500 42500 
5791 2762 0 45500 42500 
5791 2762 0 45500 42500 
5791 2762 0 45500 42500 
5791 2762 0 45500 42500 
5829 2762 0 45500 42500 
5829 2839 0 45500 42500 
5829 2839 0 45500 42500 
5829 2839 0 45500 42500 
5829 2839 0 45500 42500 
5829 2839 0 45500 42500 
5829 2839 0 45500 42500 
5829 2839 0 45500 42500 
5829 2839 0 45500 42500 
5867 2839 0 45500 42500 
5829 2839 0 45500 42500 
5867 2839 0 45500 42500 
5867 2839 0 45500 42500 
5867 2839 0 45500 42500 
5867 2839 0 45500 42500 
5867 2839 0 45500 42500 
5867 2839 0 45500 42500 
5867 2839 0 45500 42500 
5906 2915 0 45500 42500 
5906 2915 0 45500 42500 
5867 2915 0 45500 42500 
5867 2915 0 45500 42500 
5867 2915 0 45500 42500 
5867 2915 0 45500 42500 
5906 2915 0 45500 42500 
5906 2915 0 45500 42500 
5906 2915 0 45500 42500 
5906 2915 0 45500 42500 
5906 2915 0 45500 42500 
5906 2915 0 45500 42500 
5906 2915 0 45500 42500 
5906 2915 0 45500 42500 
5906 2915 0 45500 43000 
5944 2915 0 45500 43000 
5944 2915 0 45500 43000 
5906 2915 0 45500 43000 
5906 2915 0 45500 43000 
5944 2915 0 45500 43000 
5944 2915 0 45500 43000 
5944 2992 0 45500 43000 
5944 2992 0 45500 43000 
5944 2915 0 45500 43000 
5944 2992 0 45500 43000 
5944 2915 0 45500 43000 
5944 2915 0 45500 43000 
5944 2915 0 45500 43000 
5906 2915 0 45500 43000 
5944 2915 0 45500 43000 
5944 2915 0 45500 43000 
5944 2915 0 45500 43000 
5944 2915 0 45500 43000 
5944 2915 0 45500 43000 
5944 2915 0 45500 43000 
5944 2915 0 45500 43000 
5944 2915 0 45500 43000 
5944 2915 0 45500 43000 
5944 2915 0 45500 43000 
5944 2915 0 45500 43000 
5944 2915 0 45500 43000 
5944 2915 0 45500 43000 
5906 2915 0 45500 43000 
5906 2915 0 45500 43000 
5906 2915 0 45500 43000 
5906 2915 0 45500 43000 
5906 2915 0 45500 43000 
5944 2915 0 45500 43000 
5944 2992 0 45500 43000 
5906 2992 0 45500 43000 
5944 2992 0 45500 43000 
5944 2992 0 45500 43000 
5944 2992 0 45500 43000 
5944 2992 0 45500 43000 
5944 2992 0 45500 43000 
5944 2992 0 45500 43000 
5944 2992 0 45500 43000 
5944 2992 0 45500 43000 
5906 2992 0 45500 43000 
5906 2992 0 45500 43000 
5906 2992 0 45500 43000 
5906 2992 0 45500 43000 
5906 2992 0 45500 43000 
5906 2915 0 45500 43000 
5906 2915 0 45500 43000 
5906 2992 0 45500 43000 
5906 2992 0 45500 43000 
5906 2992 0 45500 43000 
5906 2992 0 45500 43000 
5867 2992 0 45500 43000 
5867 2915 0 45500 43000 
5867 2915 0 45500 43000 
5867 2915 0 45500 43000 
5867 2915 0 45500 43000 
5867 2915 0 45500 43000 
5867 2915 0 45500 43000 
5867 2915 0 45500 43000 
5867 2915 0 45500 43000 
5867 2915 0 45500 43000 
5867 2915 0 45500 43000 
5867 2915 0 45500 43000 
5906 2992 0 45500 43000 
5906 2992 0 45500 43000 
5906 2915 0 45500 43000 
5867 2915 0 45500 43000 
5867 2992 0 45500 43000 
5906 2992 0 45500 43000 
5906 2992 0 45500 43000 
5906 2992 0 45500 43000 
5906 2992 0 45500 43000 
5906 2992 0 45500 43000 
5906 2992 0 45500 43000 
5944 2992 0 45500 43000 
5944 2992 0 45500 43000 
5906 2992 0 45500 43000 
5944 2992 0 45500 43000 
5944 2992 0 45500 43000 
5944 2992 0 45500 43000 
5944 2992 0 45500 43000 
5944 2992 0 45500 43000 
5944 2992 0 45500 43000 
5982 2992 0 45500 43000 
5982 3069 0 45500 43000 
5982 3069 0 45500 43000 
6021 3069 0 46000 43000 
5982 3069 0 46000 43000 
5982 2992 0 46000 43000 
5982 2992 0 46000 43000 
6021 3069 0 46000 43000 
5982 3069 0 46000 43000 
5982 3069 0 46000 43000 
5982 3069 0 46000 43000 
5982 3069 0 46000 43000 
6021 3069 0 46000 43000 
6021 3069 0 46000 43000 
6021 3069 0 46000 43000 
6021 3069 0 46000 43000 
6021 3069 0 46000 43000 
6021 3069 0 46000 43000 
6021 3069 0 46000 43000 
6059 3069 0 46000 43000 
6059 3069 0 46000 43000 
6059 3069 0 46000 43000 
6059 3069 0 46000 43000 
6059 3069 0 46000 43000 
6059 3069 0 46000 43000 
6059 3069 0 46000 43000 
6059 3069 0 46000 43000 
6059 3069 0 46000 43000 
6059 3069 0 46000 43000 
6059 3069 0 46000 43000 
6059 3069 0 46000 43000 
6059 3069 0 46000 43000 
6059 3069 0 46000 43000 
6059 3069 0 46000 43000 
6059 3069 0 46000 43000 
6059 3069 0 46000 43000 
6059 3069 0 46000 43000 
6059 3069 0 46000 43000 
6059 3069 0 46000 43000 
6097 3069 0 46000 43000 
6097 3069 0 46000 43000 
6059 3069 0 46000 43000 
6059 3069 0 46000 43000 
6059 3069 0 46000 43000 
6059 3069 0 46000 43000 
6097 3069 0 46000 43000 
6097 3069 0 46000 43000 
6097 3069 0 46000 43000 
6097 3069 0 46000 43000 
6097 3069 0 46000 43000 
6097 3069 0 46000 43000 
6097 3069 0 46000 43000 
6097 3069 0 46000 43000 
6097 3069 0 46000 43000 
